"Source:","C:\Users\Alex\Documents\microclem\hardware\base\microclem_base.sch"
"Date:","13/03/2021 16:22:15"
"Tool:","Eeschema (5.1.7)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"12","1","JPC6","/16","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"13","1","MP1","W65C02SxP","65xx:W65C02SxP","Package_DIP:DIP-40_W15.24mm_Socket","http://www.westerndesigncenter.com/wdc/documentation/w65c02s.pdf"
"14","1","R1","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"15","1","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"16","1","R3","330","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"17","1","R4","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"18","1","R5","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"19","6","R6, R7, R8, R9, R10, R11","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"20","2","RAM_HI1, RAM_LO1","71256SA12TPG","Memory_RAM:CY62256-70PC","Package_DIP:DIP-28_W7.62mm_Socket","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"21","1","ROM1","28C256","Memory_EEPROM:28C256","Socket:DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf"
"22","1","U1","74AHC02","74xx:74LS02","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc02"
"23","4","U2, U4, U7, U13","74AHC08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC08"
"24","2","U3, U12","74AHC14","74xx:74LS14","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC14"
"25","3","U5, U10, U11","74AHC74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc74.pdf"
"26","1","U6","74AHC00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC00"
"27","2","U8, U14","74AHC32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC32"
"28","1","U9","74AHCT125","74xx:74LS125","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHCT125"
"29","3","U15, U19, U20","74HC590","74xx:74LS590","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74hc590a.pdf"
"30","2","U16, U17","74AC163","74xx:74LS163","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/cd54ac163.pdf"
"31","2","U18, U22","74AHCT245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket","https://www.ti.com/lit/ds/scls233p/scls233p.pdf"
"32","1","U21","74AHC138","74xx:74LS138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC138"
"33","1","VIA1","W65C22SxP","65xx:W65C22SxP","Package_DIP:DIP-40_W15.24mm_Socket","http://www.westerndesigncenter.com/wdc/documentation/w65c22.pdf"
"34","1","X1","CXO_DIP8","Oscillator:CXO_DIP8","Oscillator:Oscillator_DIP-8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"
